"standard_azul_11","exitable_azul_11","exitable_zing_17","standard_zing_17","exitable_temurin_17","standard_temurin_17"
185810413,194257097,168443804,161849918,183450997,290635569
186069834,206510266,165736280,160468581,177389039,246515322
198284925,206791186,165838444,160332022,176769778,174795258
198102580,207791317,164010822,160439255,176536879,174579760
198266038,207110299,165214215,160118057,177077489,174526880
198363112,207362085,164231278,161433768,176572386,175892411
198310392,206451234,164597631,160559232,176457049,174796580
198254106,207085062,165311940,161201556,177103128,180138747
207355650,207212463,164104630,160576423,176526368,175203248
198575584,207330024,164388256,160317814,175779508,174311804
198013070,206941621,164581790,161727644,175929582,174718391
197736086,206588183,163348883,160817000,176379962,174802562
267999227,208023976,165315446,161746549,175490042,174653229
414164428,207244394,165718489,160219837,175585031,175230800
425781418,204230978,164126351,161333486,175408147,174535266
340231930,201237181,165771929,159479766,175434057,174286095
193079574,199427289,164718079,161116585,175388290,178894085
190921895,196786228,165763605,160505840,231387464,174351348
188016523,195669848,164940048,161547962,212476727,173622301
187291763,195103749,163554471,159801103,177268902,173294260
186680207,194284530,165375180,161387758,177394320,173617301
186033705,192886869,164201164,161490292,177158103,173572235
185203746,194519144,164282406,160804964,177165677,173490371
185762582,194772201,166707006,161371957,176558962,172813502
185735962,194806447,165986064,161120312,176942996,173832828
186467375,206458819,166230396,160640211,177106846,201112672
198979908,206940910,166356795,161852907,177627059,290965231
198202939,206952452,167052880,160749388,176742018,290802213
198866292,207708540,170599629,161068542,176575582,183676705
198244657,207097817,172353532,162721482,176761234,175609306
198123208,207069072,171672346,161886000,176126204,175617030
199187199,207043894,171378170,162526813,176903142,174470523
198195995,206928135,174197325,162934554,179916884,174691001
198330139,206939067,173107065,163904692,175906519,175044018
198784397,208399146,173922336,166575309,175416714,174516820
198051782,207332580,316086316,168174808,175563992,174247132
199523584,207629422,169353366,167691803,175579591,174428133
198997170,207521366,168157437,168711634,175271660,174410851
198820927,205816645,165096697,312257891,174951927,174573448
195447981,201520256,164376176,166594995,175466589,174300091
192589106,199072119,165282117,160409431,175899807,175343954
191831184,196490970,164164535,161456114,176168654,173579829
190142803,196165225,164094954,161300949,177280194,174787924
187521356,194994032,164715236,161536405,178003580,172561064
186518832,194330658,164995025,161118623,177645003,174129088
186280912,193846071,164153074,162295131,177734663,174946382
185546503,193837175,165084835,160742021,177008832,175614566
186014879,198024569,163698445,161804942,177343434,173064566
185762381,196569509,166640633,161157036,177217115,173894735
186037712,207314396,165769147,161225314,176808053,173344535
198560203,207024217,164549404,161761950,177507524,172951743
198478069,207590507,165997950,160922430,177969176,174433644
198128758,207039105,163988534,160712393,176453834,175634514
198383591,207158772,164836887,160324107,176878044,174728821
198175096,207217754,165291055,161133200,177881210,175304490
197994394,206667093,165095495,159999331,176210394,175527901
198657748,214409755,163537303,161385677,175877796,175203018
198765732,207153703,164961543,160902412,175471007,175650513
198858277,206562695,164494330,162143272,175214262,175400000
198518895,206313023,163740527,161093564,175811792,174763908
197918380,206595107,165023910,161737453,175038160,174689928
198244457,206796306,163644696,160861523,175089238,173609536
198507854,249092103,165373742,161433045,175188403,174993792
195558509,272401395,165236212,159862651,175474886,173483127
192532980,199644270,165405341,161710822,175529538,173670902
191541005,195276235,165049469,160495119,176987934,174762215
187716405,195385451,163261473,160682695,178204871,173607542
187790815,195343072,164032549,161093461,176892703,174312595
187524612,194082809,164006830,161087109,177182320,172537629
185720712,193908961,164829033,162114605,177385414,173003841
185064512,193493616,165489611,160812730,177905185,173476734
185580277,201968141,163935405,161726791,177207588,173421401
185689613,195976018,164736709,160764518,176839953,173301293
186604643,206241167,165155330,162858943,176798776,173467156
198048185,206607100,164858379,160693403,177462209,173471345
198341570,206770558,164232417,161760372,177071762,173780489
198030321,206974634,165977714,160750120,176990608,174795548
198117747,206733459,164792625,160851391,176115125,174802971
198858407,206877460,165391357,161806801,177206817,175512813
198182369,213604474,164590784,161309499,176031717,174849089
198195413,206571262,163698899,161018628,176970211,174944599
198174424,206465261,168031414,160916985,175635159,174322664
198311873,206049125,165918513,160646713,177974998,174932766
198252591,206778443,166106387,162350850,175477090,174351488
198360325,206505077,165812532,161070736,175360309,173844240
197829000,206735171,167927727,162314701,175231376,174802320
197963054,202905194,173223240,161221801,179431488,174424997
195798843,307300622,170981937,161811758,178778445,174724974
192876729,359491197,172475177,161533561,176206508,174226331
191775607,267672338,171571230,162904949,175466470,175101966
187941010,194622539,170871257,163495166,177014394,174377858
187355682,195078161,172378385,163588002,176951585,173244687
187008977,193929981,172060985,165299142,177416954,172604987
186083017,193599947,482849956,331068232,177390394,172664329
187781157,203443731,261134462,221267385,176934633,172837607
186333762,195828619,169591982,208684979,177632552,173271026
185821783,195654691,166567419,279815755,177415401,173311342
186948393,206883271,163851430,210303342,177266340,173086867
198410179,206197185,164900631,160629527,176559355,173800347
199379702,207214348,164163358,160270217,176516323,173347259
198081428,206615495,164098225,161517869,177051975,174880758
197991067,206973843,165682409,160265888,176342956,174993091
198404619,206374520,164044685,160358392,175615042,174644001
